name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing
Charlie Adam,Stoke+City,31,CM,2,3.5,561,59,2,Scotland,0,15,0
Geoff Cameron,Stoke+City,32,CB,3,3,260,58,4,United States,0,15,0
Glen Johnson,Stoke+City,32,RB,3,5,512,56,1,England,0,15,0
Mame Biram Diouf,Stoke+City,29,CF,1,7,310,51,4,Senegal,0,15,0
Ramadan Sobhi,Stoke+City,20,LW,1,5,461,36,4,Egypt,0,15,1
Marc Muniesa,Stoke+City,25,CB,3,3,172,34,2,Spain,0,15,0
Bojan KrkiÄ‡,Stoke+City,26,SS,1,5,1325,30,2,Spain,0,15,0
Phil Bardsley,Stoke+City,32,RB,3,1.5,365,27,2,Scotland,0,15,0
Saido Berahino,Stoke+City,23,CF,1,15,841,26,1,England,0,15,0
Giannelli Imbula,Stoke+City,24,DM,2,12,238,24,2,France,0,15,0
Jack Butland,Stoke+City,24,GK,4,15,402,20,1,England,0,15,0
Ibrahim Afellay,Stoke+City,31,LM,2,3,461,15,2,Netherlands,0,15,0
Josh Tymon,Stoke+City,18,LB,3,1,120,9,1,England,0,15,0
Gylfi Sigurdsson,Swansea,27,AM,1,25,861,181,2,Iceland,0,16,0
Fernando Llorente,Swansea,32,CF,1,6,1423,146,2,Spain,0,16,1
Åukasz FabiaÅ„ski,Swansea,32,GK,4,9,285,116,2,Poland,0,16,0
Leroy Fer,Swansea,27,CM,2,8,411,95,2,Netherlands,0,16,1
Alfie Mawson,Swansea,23,CB,3,6,509,94,1,England,0,16,1
Kyle Naughton,Swansea,28,RB,3,5,170,82,1,England,0,16,0
Wayne Routledge,Swansea,32,LW,1,2.5,264,74,1,England,0,16,0
Federico Fernandez,Swansea,28,CB,3,9,116,63,3,Argentina,0,16,0
Martin Olsson,Swansea,29,LB,3,5,458,52,2,Sweden,0,16,0
Tom Carroll,Swansea,25,CM,2,6,432,52,1,England,0,16,0
Ki Sung-yueng,Swansea,28,DM,2,7,478,41,4,South Korea,0,16,0
Jordan Ayew,Swansea,25,CF,1,7.5,676,39,4,Ghana,0,16,0
Modou Barrow,Swansea,24,RW,1,3,437,34,4,The Gambia,0,16,0
Leon Britton,Swansea,34,CM,2,1,218,32,1,England,0,16,0
Stephen Kingsley,Swansea,22,LB,3,0.75,168,29,2,Scotland,0,16,0
Ã€ngel Rangel,Swansea,34,RB,3,1,137,26,2,Spain,0,16,0
Luciano Narsingh,Swansea,26,RW,1,5,448,25,2,Netherlands,0,16,0
Jay Fulton,Swansea,23,CM,2,0.5,104,19,2,Scotland,0,16,0
Jefferson Montero,Swansea,27,LW,1,4.5,187,18,3,Ecuador,0,16,0
Mike van der Hoorn,Swansea,24,CB,3,2,154,16,2,Netherlands,0,16,1
Nathan Dyer,Swansea,29,RW,1,3.5,313,12,1,England,0,16,0
Oliver McBurnie,Swansea,21,CF,1,0.25,149,5,2,Scotland,0,16,0
Kristoffer Nordfeldt,Swansea,28,GK,4,1.5,82,3,2,Sweden,0,16,0
Roque Mesa,Swansea,28,CM,2,12,110,0,2,Spain,1,16,0
Tammy Abraham,Swansea,19,CF,1,8,1227,0,1,England,0,16,0
Dele Alli,Tottenham,21,CM,2,45,4626,225,1,England,0,17,0
Harry Kane,Tottenham,23,CF,1,60,4161,224,1,England,0,17,0
Christian Eriksen,Tottenham,25,AM,1,40,1130,218,2,Denmark,0,17,0
Son Heung-min,Tottenham,25,LW,1,30,2185,174,4,South Korea,0,17,0
Hugo Lloris,Tottenham,30,GK,4,24,847,143,2,France,0,17,0
Jan Vertonghen,Tottenham,30,CB,3,28,511,126,2,Belgium,0,17,0
Toby Alderweireld,Tottenham,28,CB,3,35,756,120,2,Belgium,0,17,0
Victor Wanyama,Tottenham,26,DM,2,25,1002,103,4,Kenya,0,17,1
Eric Dier,Tottenham,23,DM,2,25,1239,93,1,England,0,17,0
Ben Davies,Tottenham,24,LB,3,12,396,90,2,Wales,0,17,0
Danny Rose,Tottenham,27,LB,3,28,848,84,1,England,0,17,0
Mousa Dembele,Tottenham,30,CM,2,18,1161,76,2,Belgium,0,17,0
Vincent Janssen,Tottenham,23,CF,1,13,1135,55,2,Netherlands,0,17,1
Kieran Trippier,Tottenham,26,RB,3,10,525,51,1,England,0,17,0
Moussa Sissokho,Tottenham,27,CM,2,20,1162,43,2,France,0,17,1
Harry Winks,Tottenham,21,CM,2,4,806,30,1,England,0,17,0
Erik Lamela,Tottenham,25,RW,1,25,672,28,3,Argentina,0,17,0
Michel Vorm,Tottenham,33,GK,4,4,252,17,2,Netherlands,0,17,0
Georges-Kevin N%27Koudou,Tottenham,22,LW,1,7,510,8,2,France,0,17,1
Kevin Wimmer,Tottenham,24,CB,3,7,355,2,2,Austria,0,17,0
Ã‰tienne Capoue,Watford,29,DM,2,9,412,131,2,France,0,18,0
Troy Deeney,Watford,29,CF,1,11,1141,130,1,England,0,18,0
Heurelho Gomes,Watford,36,GK,4,1,439,113,3,Brazil,0,18,0
Jose Holebas,Watford,33,LB,3,2,345,87,2,Greece,0,18,0
Miguel Britos,Watford,32,CB,3,3.5,131,71,3,Uruguay,0,18,0
Sebastian Prodl,Watford,30,CB,3,4,169,67,2,Austria,0,18,0
Nordin Amrabat,Watford,30,LW,1,4.5,295,65,4,Morocco,0,18,0
YounÃ¨s Kaboul,Watford,31,CB,3,2.5,263,57,2,France,0,18,1
Tom Cleverley,Watford,27,CM,2,8,703,55,1,England,0,18,0
Daryl Janmaat,Watford,27,RB,3,7,242,50,2,Netherlands,0,18,1
Valon Behrami,Watford,32,DM,2,2.5,237,48,2,Switzerland,0,18,0
Roberto Pereyra,Watford,26,AM,1,15,398,43,3,Argentina,0,18,1
Stefano Okaka,Watford,27,CF,1,6,708,43,2,Italy,0,18,1
Abdoulaye Doucoure,Watford,24,CM,2,6,124,38,2,France,0,18,0
Kabasele,Watford,26,CB,3,5.5,177,35,2,Belgium,0,18,1
Craig Cathcart,Watford,28,CB,3,4,128,31,2,Northern Ireland,0,18,0
Isaac Success,Watford,21,LW,1,4,474,28,4,Nigeria,0,18,1
Adrian Mariappa,Watford,30,CB,3,1,201,15,3,Jamaica,0,18,1
Nathaniel Chalobah,Watford,22,DM,2,5,977,12,1,England,0,18,0
Mauro Zarate,Watford,30,SS,1,2,473,8,3,Argentina,0,18,0
Costel Pantilimon,Watford,30,GK,4,3,268,2,2,Romania,0,18,0
Kiko Femenia,Watford,26,RB,3,4,74,0,2,Spain,1,18,0
Steven Berghuis,Watford,25,RW,1,5.5,164,0,2,Netherlands,0,18,0
Will Hughes,Watford,22,CM,2,8,258,0,1,England,1,18,0
Gareth McAuley,West+Brom,37,CB,3,1,458,131,2,Northern Ireland,0,19,0
Salomon Rondon,West+Brom,27,CF,1,15,502,118,3,Venezuela,0,19,0
Matt Phillips,West+Brom,26,RW,1,9,454,115,2,Scotland,0,19,1
Ben Foster,West+Brom,34,GK,4,4,484,113,1,England,0,19,0
Nacer Chadli,West+Brom,27,LW,1,15,570,110,2,Belgium,0,19,1
Craig Dawson,West+Brom,27,RB,3,6,215,102,1,England,0,19,0
Chris Brunt,West+Brom,32,LM,2,4,242,99,2,Northern Ireland,0,19,0
James Morrison,West+Brom,31,CM,2,5,238,84,2,Scotland,0,19,0
Jonny Evans,West+Brom,29,CB,3,7,375,79,2,Northern Ireland,0,19,0
Jake Livermore,West+Brom,27,DM,2,7,564,77,1,England,0,19,0
Allan Nyom,West+Brom,29,RB,3,4.5,236,74,4,Cameroon,0,19,1
Jay Rodriguez,West+Brom,27,CF,1,10,472,73,1,England,0,19,0
Claudio Yacob,West+Brom,30,DM,2,4,165,54,3,Argentina,0,19,0
James McClean,West+Brom,28,LW,1,3,454,52,2,Ireland,0,19,0
Hal Robson-Kanu,West+Brom,28,LW,1,2.5,766,52,2,Wales,0,19,1
Jonathan Leko,West+Brom,18,RW,1,1.5,169,12,1,England,0,19,0
Sam Field,West+Brom,19,CM,2,0.25,15,9,1,England,0,19,0
Boaz Myhill,West+Brom,34,GK,4,1.5,100,0,2,Wales,0,19,0
Ahmed Hegazy,West+Brom,26,CB,3,1,82,0,4,Egypt,1,19,0
Robert Snodgrass,West+Ham,29,RW,1,8,1210,133,2,Scotland,0,20,0
Manuel Lanzini,West+Ham,24,AM,1,15,493,133,3,Argentina,0,20,0
Michail Antonio,West+Ham,27,RW,1,18,1142,132,1,England,0,20,0
Winston Reid,West+Ham,29,CB,3,10,338,102,4,New Zealand,0,20,0
Jose Fonte,West+Ham,33,CB,3,7,867,98,2,Portugal,0,20,1
Andre Ayew,West+Ham,27,LW,1,18,845,89,4,Ghana,0,20,1
Cheikhou Kouyate,West+Ham,27,DM,2,12,284,79,4,Senegal,0,20,0
Mark Noble,West+Ham,30,CM,2,7,425,71,1,England,0,20,0
Darren Randolph,West+Ham,30,GK,4,2.5,459,69,2,Ireland,0,20,0
James Collins,West+Ham,33,CB,3,2,187,69,2,Wales,0,20,0
Andy Carroll,West+Ham,28,CF,1,10,1212,69,1,England,0,20,0
Adrian,West+Ham,30,GK,4,8,266,64,2,Spain,0,20,0
Aaron Cresswell,West+Ham,27,LB,3,12,380,60,1,England,0,20,0
Pedro Obiang,West+Ham,25,CM,2,9,286,55,2,Spain,0,20,0
Sofiane Feghouli,West+Ham,27,RW,1,12,394,55,4,Algeria,0,20,1
Angelo Ogbonna,West+Ham,29,CB,3,9,247,45,2,Italy,0,20,0
Pablo Zabaleta,West+Ham,32,RB,3,7,698,45,3,Argentina,0,20,0
Edimilson Fernandes,West+Ham,21,CM,2,5,288,38,2,Switzerland,0,20,1
Arthur Masuaku,West+Ham,23,LB,3,7,199,34,4,Congo DR,0,20,1
Sam Byram,West+Ham,23,RB,3,4.5,198,29,1,England,0,20,0
Ashley Fletcher,West+Ham,21,CF,1,1,412,16,1,England,0,20,1
Diafra Sakho,West+Ham,27,CF,1,10,214,12,4,Senegal,0,20,0
